time,stn,T12,H12,U12,P12
19910501,OTL,10.9,83.6,2.4,4.5
19910502,OTL,11.4,75.3,1.6,12.8
19910503,OTL,16.0,45.7,2.0,8.2
19910504,OTL,9.6,42.0,2.8,0.0
19910505,OTL,10.5,59.2,4.3,20.2
19910506,OTL,11.6,58.4,4.0,0.0
19910507,OTL,16.1,42.6,1.3,7.0
19910508,OTL,17.4,40.6,1.9,0.4
19910509,OTL,12.2,66.3,3.5,0.4
19910510,OTL,8.9,92.0,0.8,17.8
19910511,OTL,12.2,79.3,2.7,2.1
19910512,OTL,19.2,31.1,4.0,0.0
19910513,OTL,19.0,32.9,2.4,0.0
19910514,OTL,20.3,36.2,2.6,0.0
19910515,OTL,19.1,29.1,3.3,0.0
19910516,OTL,14.3,48.3,3.2,0.0
19910517,OTL,16.5,19.2,2.3,0.0
19910518,OTL,18.8,23.1,2.9,0.0
19910519,OTL,19.2,23.7,4.2,0.0
19910520,OTL,21.2,22.7,5.8,0.0
19910521,OTL,21.4,38.3,2.7,0.0
19910522,OTL,24.7,34.3,3.1,0.0
19910523,OTL,27.6,20.0,3.7,0.0
19910524,OTL,22.3,19.7,2.9,0.0
19910525,OTL,19.1,35.6,3.4,0.0
19910526,OTL,23.6,26.9,2.1,0.0
19910527,OTL,19.6,43.5,4.3,0.0
19910528,OTL,20.2,39.8,3.5,0.0
19910529,OTL,20.5,48.8,2.9,0.2
19910530,OTL,20.5,41.6,2.9,0.2
19910531,OTL,22.7,41.0,2.8,0.0
19910601,OTL,24.2,35.8,3.3,0.0
19910602,OTL,21.0,56.1,1.5,6.8
19910603,OTL,14.3,87.5,0.9,16.8
19910604,OTL,20.8,46.3,2.4,0.3
19910605,OTL,17.3,61.1,5.4,0.0
19910606,OTL,11.8,92.2,1.5,11.1
19910607,OTL,13.3,81.0,0.6,3.8
19910608,OTL,25.0,29.3,4.5,1.7
19910609,OTL,23.8,33.0,2.0,0.0
19910610,OTL,21.7,52.1,2.0,0.0
19910611,OTL,26.4,25.6,2.8,0.0
19910612,OTL,22.5,57.4,3.6,0.0
19910613,OTL,24.0,59.9,2.1,0.0
19910614,OTL,20.8,72.0,4.1,6.0
19910615,OTL,23.9,61.4,2.6,0.0
19910616,OTL,17.0,84.4,1.8,15.2
19910617,OTL,12.5,86.5,4.1,91.2
19910618,OTL,21.5,29.0,4.4,16.2
19910619,OTL,20.4,40.6,3.7,0.0
19910620,OTL,13.9,89.7,0.3,4.4
19910621,OTL,21.9,50.1,2.6,0.7
19910622,OTL,24.2,50.3,2.6,0.0
19910623,OTL,26.4,45.4,2.8,0.0
